Ингредиенты, 100 гА-Я;Калории, ккал;Белки, г;Жиры, г;Углеводы, г
Помидоры черри;15ккал;1г;0.1г;3г
Бульон;15ккал;2г;0.5г;0.3г
Огурцы;14ккал;0.8г;0.1г;2.5г
Салат айсберг;14ккал;1г;0.14г;1.8г
Салат фризе;14ккал;1.5г;0г;2г
Хересный уксус;14ккал;0г;0г;7г
Сельдерей;13ккал;1г;0.1г;2г
Латук;12ккал;1.2г;0.3г;1.3г
Табаско;12ккал;1г;3г;2г
Розовый перец;10ккал;0г;0г;0г
Винный уксус белый;9ккал;1г;1г;1г
Зеленый жасминовый чай;8ккал;0г;0г;2г
Кофе;7ккал;0.2г;0.5г;0.2г
Сода;1ккал;0г;0г;0г
Морская соль;1ккал;1г;1г;1г
Лимонная кислота;1ккал;0г;0г;0г
Чай матча;1ккал;0г;0г;0.2г
Лед;0.1ккал;0г;0г;0г
Соль;0.1ккал;0.1г;0.1г;0.1г
Краситель пищевой;0.01ккал;0.01г;0г;0г
Вода без газа;0.001ккал;0.001г;0.001г;0.001г
